"Titanic";"Tim Vicary";"1999";"Ngôn ngữ";"Sách giấy";"Tiếng Anh";"The book was the most famous ship in history. But what really happened to it on that terrible April night in the North Atlantic? Why did it hit an iceberg? Why did it sink? Why did more than one thousand people died? This book looks at the true story and gives some of the answers";"titan.jpg";"1"
"Sapiens: Lược sử loài người";"Yval Noah Harari";"2018";"Sử - Địa";"Sách giấy";"Tiếng Việt";"Cuốn sách nói bao quát về lịch sử tiến hóa của loài người từ thời cổ xưa trong thời kỳ đồ đá cho đến thế kỷ XXI, tập trung vào loài Homo sapiens. ";"sapie.jpg";"3"
"Sáu chiếc nón tư duy";"Edward De Bono";"2008";"Triết học";"Sách giấy";"Tiếng Việt";"6 chiếc mũ tư duy là một công cụ trợ giúp tư duy được TS. Edward de Bono phát kiến năm 1980 và giới thiệu trong cuốn “6 Thinking Hats”";"sauch.jpg";"4"
"Lối sống tối giản của người Nhật";"Sasaki Fumio";"2018";"Kỹ thuật";"Sách giấy";"Tiếng Việt";"Cuốn sách Lối sống tối giản của người Nhật có tựa đề tiếng Anh là “Goodbye, Things” (Tạm biệt đồ đạc) của tác giả Fumio Sasaki sẽ giúp chúng ta hiểu hơn về lối sống tối giản là gì, làm cách nào ngưng mưa sắm, tối giản không chỉ đồ đạc mà còn nhiều khía cạnh khác của cuộc sống.";"loiso.jpg";"3"
"Đến Nhật Bản học về cuộc đời";"Lê Nguyễn Nhật Linh";"2016";"Văn học,Nhật Bản";"Sách giấy";"Tiếng Việt";"Đến Nhật Bản học về cuộc đời là một quyển sách kì lạ. Vì trước khi là một quyển sách vạn bản, đó là quyển nhật ký 368 ngày sống ở Nhật của một cô gái nhỏ.";"dennh.jpg";"2"
"Một phương pháp xây dựng mô hình ước lượng công thực hiện phần mềm bằng lập trình di truyền";"Nguyễn Minh Huy";"2009";"Tổng hợp,KHMT";"Luận án/Luận văn";"Tiếng Việt";"";"luanv.jpg";"1"
"The Fault in Our Stars";"John Green";"2012";"Văn học";"Sách giấy";"Tiếng Anh";"The Fault in Our Stars is a novel by John Green. It is his fourth solo novel, and sixth novel overall. The title is inspired by Act 1, Scene 2 of Shakespeare's play Julius Caesar";"thefa.jpg";"3"
"Khi lỗi thuộc về những vì sao";"John Green";"2016";"Văn học";"Sách giấy";"Tiếng Việt";"Sâu sắc, táo bạo, ngang tàng, và thô ráp, Khi lỗi thuộc về những vì sao là tác phẩm thương tâm và tham vọng nhất của John Green, tác giả của những giải thưởng, nhưng đồng thời lại khám phá một cách khéo léo nét hài hước, li kỳ, và bi thảm của việc sống và việc yêu.";"khilo.jpg";"3"
"Cùng chơi nhé, Mẹ ơi! Let’s Play, Mom!";"Shelley Admont";"2023";"Văn học";"Ebook";"Tiếng Việt";"Một câu chuyện cảm động được kể bởi một em bé lớp một, cô bé đã tìm ra cách để làm mẹ vui và khiến mẹ cười. Không gì quý giá hơn thời gian chúng ta ở bên nhau. Câu chuyện trẻ em này gửi tới thông điệp cho cả trẻ nhỏ và cha mẹ, dạy trẻ biết cảm thông và sáng tạo, nhắc nhở cha mẹ về tầm quan trọng của việc dành thời gian chất lượng bên con cái.";"cungc.jpg";"1"
"Ngủ Ngon, Con Yêu! Goodnight, My Love!";"Shelley Admont";"2023";"Văn học";"Ebook";"Tiếng Việt";"Alex thấy khó ngủ, vì thế cậu bắt đầu lấy các lý do. Sau khi đọc truyện trước giờ ngủ, bố cậu đề nghị lên kế hoạch cho một giấc mơ mà cậu muốn có khi ngủ say. Hãy xem trí tưởng tượng đưa hai bố con đến đâu khi cả hai cùng nhau lên kế hoạch cho giấc mơ nhé.Câu chuyện này sẽ giúp trẻ cảm thấy thư giãn và được yêu thương, giúp trẻ sẵn sàng cho một đêm bình an, ngon giấc.";"ngung.jpg";"1"
"Tác động tình trạng cuộc sống đến nỗ lực ở lại của lao động nhập cư ở TP.HCM";"Nguyễn Thị Thu Trang ";"2019";"Xã hội";"Báo cáo khoa học";"Tiếng Việt";"Báo cáo khoa học của Trường Đại học Kinh tế - Luật, ĐHQG-HCM";"baoca.jpg";"1"
"Public administration in America";"Michael E. Milakovich";"2007";"Xã hội";"Sách giấy";"Tiếng Anh";"As the most widely used text for the introductory public administration course, PUBLIC ADMINISTRATION IN AMERICA offers a comprehensive and inspiring overview of the themes, trends, ethics, and challenges of studying and participating in public administration. ";"publi.jpg";"1"
"Từ điển tôn giáo";"Marguerite-Marie Thiollier";"2001";"Tôn giáo";"Sách giấy";"Tiếng Việt";"Trong cuốn từ điển này, người đọc sẽ tìm thấy những nguyên lý của các tôn giáo với nguồn gốc, học thuyết, các thần linh, các tập tục, các vật thờ cúng. Bên cạnh đó cuốn sách còn cung cấp cho bạn đọc các thông tin về tiểu sử của những nhà sáng lập lớn với dòng và các phái tôn giáo; những sự kiện tôn giáo gắn liền với các hệ thống triết học, giải thích thuật ngữ tôn giáo.";"tudie.jpg";"1"
"Bí ẩn của cái chảo";"Hervé This";"2015";"Kỹ thuật";"Sách giấy";"Tiếng Việt";"Động lực thúc đẩy giáo sư Hervé This tìm kiếm những giải đáp mang tính khoa học cho những bí quyết ấy, và khai phá một lĩnh vực mới cho ẩm thực: Ẩm thực phân tử, ngành khoa học nghiên cứu về những quá trình hóa lý xảy ra khi nấu ăn dưới góc nhìn của khoa học. Từ đó nâng những sáng tạo ẩm thực lên một tầm cao mới, không còn hoàn toàn dựa vào kinh nghiệm mà được trang bị một công cụ hỗ trợ tuyệt vời: khoa học.";"bianc.jpg";"1"
"Món ăn có ích cho người bệnh thận";"Đinh Công Bảy";"2013";"Kỹ thuật,Thực phẩm";"Sách giấy";"Tiếng Việt";"Sách gồm các món ăn có ích cho người bệnh thận. Được chia theo từng loại bệnh riêng biệt như: Viêm cầu thận, Hội chứng thận hư, nhiễm trùng đường tiết niệu…";"monan.jpg";"1"
"Cơ thể tự chữa lành : Thanh lọc để phục hồi ";"Anthony William";"2022";"Kỹ thuật,Thực phẩm";"Sách giấy";"Tiếng Việt";"Lời khuyên vô giá của Anthony William về cách phòng ngừa và chống lại bệnh tật di trước hiện tại rất nhiều năm. Cuốn sách này là tác phẩm đột phá sẽ cải thiện chất lượng cuộc sống của vô số người. Ai cũng nên đọc nó. - Bác sĩ Richard Sollazzo, bác sĩ chuyên khoa ung bướu, nhà thuyết học, chuyên gia dinh dưỡng và chống lão hóa, tác giả cuốn Balance Your Health";"cotheo.jpg";"2"
